Epoch 10/20 | Train Loss: 0.2245 | Test Loss: 0.3305 | Test Accuracy: 0.8846
Epoch 11/20 | Train Loss: 0.2154 | Test Loss: 0.3193 | Test Accuracy: 0.8886
Epoch 12/20 | Train Loss: 0.2076 | Test Loss: 0.3335 | Test Accuracy: 0.8848
Epoch 13/20 | Train Loss: 0.1999 | Test Loss: 0.3338 | Test Accuracy: 0.8848
Epoch 14/20 | Train Loss: 0.1929 | Test Loss: 0.3283 | Test Accuracy: 0.8898
Epoch 15/20 | Train Loss: 0.1866 | Test Loss: 0.3167 | Test Accuracy: 0.8952
Epoch 16/20 | Train Loss: 0.1795 | Test Loss: 0.3219 | Test Accuracy: 0.8927
Epoch 17/20 | Train Loss: 0.1714 | Test Loss: 0.3533 | Test Accuracy: 0.8848
Epoch 18/20 | Train Loss: 0.1702 | Test Loss: 0.3654 | Test Accuracy: 0.8892
Epoch 19/20 | Train Loss: 0.1604 | Test Loss: 0.3390 | Test Accuracy: 0.8950
Epoch 20/20 | Train Loss: 0.1542 | Test Loss: 0.3544 | Test Accuracy: 0.8889
Epoch 1/20 | Train Loss: 0.5009 | Test Loss: 0.4540 | Test Accuracy: 0.8339
Epoch 2/20 | Train Loss: 0.3678 | Test Loss: 0.3769 | Test Accuracy: 0.8674
Epoch 3/20 | Train Loss: 0.3277 | Test Loss: 0.3581 | Test Accuracy: 0.8701
Epoch 4/20 | Train Loss: 0.3032 | Test Loss: 0.3825 | Test Accuracy: 0.8643
Epoch 5/20 | Train Loss: 0.2854 | Test Loss: 0.3266 | Test Accuracy: 0.8831
Epoch 1/5 | Train Loss: 0.4986 | Test Loss: 0.4199 | Test Accuracy: 0.8511
Epoch 2/5 | Train Loss: 0.3638 | Test Loss: 0.3827 | Test Accuracy: 0.8628
Epoch 3/5 | Train Loss: 0.3254 | Test Loss: 0.4029 | Test Accuracy: 0.8525
Epoch 4/5 | Train Loss: 0.3022 | Test Loss: 0.3452 | Test Accuracy: 0.8735
Epoch 5/5 | Train Loss: 0.2847 | Test Loss: 0.3471 | Test Accuracy: 0.8721
Epoch 1/5 | Train Loss: 0.4982 | Test Loss: 0.4815 | Test Accuracy: 0.8180
Epoch 2/5 | Train Loss: 0.3654 | Test Loss: 0.3792 | Test Accuracy: 0.8663
Epoch 3/5 | Train Loss: 0.3254 | Test Loss: 0.3608 | Test Accuracy: 0.8680
Epoch 4/5 | Train Loss: 0.3039 | Test Loss: 0.3419 | Test Accuracy: 0.8758
Epoch 5/5 | Train Loss: 0.2856 | Test Loss: 0.3419 | Test Accuracy: 0.8752
Epoch 1/5 | Train Loss: 0.5036 | Test Loss: 0.4171 | Test Accuracy: 0.8527
Epoch 2/5 | Train Loss: 0.3714 | Test Loss: 0.3900 | Test Accuracy: 0.8605
Epoch 3/5 | Train Loss: 0.3263 | Test Loss: 0.3560 | Test Accuracy: 0.8714
Epoch 4/5 | Train Loss: 0.3021 | Test Loss: 0.3467 | Test Accuracy: 0.8780
Epoch 5/5 | Train Loss: 0.2859 | Test Loss: 0.3616 | Test Accuracy: 0.8717
